Date,Open,High,Low,Close,Volume,Change %,Return,MA5,MA20,Volatility,Signal,Position,Strategy_Return,Cumulative_Market,Cumulative_Strategy,PositionChange,Vol_Regime
2023-11-06,19499.0,19593.2,19490.45,19589.55,320.35K,0.0094,0.009411601028500138,19353.170000000002,19561.6625,163.14897793105553,-1,-1.0,-0.009411601028500138,1.1081347101898127,1.2044212524866693,0.0,Medium
2023-11-07,19592.0,19594.95,19520.0,19581.5,180.55K,-0.0004,-0.0004109333802970738,19417.11,19557.955,186.11567646956715,-1,-1.0,0.0004109333802970738,1.1076793406475298,1.2049161893832554,0.0,Medium
2023-11-08,19600.9,19625.0,19576.85,19596.55,200.15K,0.0008,0.0007685825907106647,19503.34,19545.2775,203.30977383990515,-1,-1.0,-0.0007685825907106647,1.1085306837048414,1.20399011177683,0.0,Medium
2023-11-09,19590.0,19628.0,19580.0,19588.65,199.50K,-0.0004,-0.0004031321839812474,19552.629999999997,19526.4225,166.9156190679269,1,-1.0,0.0004031321839812474,1.1080837993093093,1.2044754789400822,0.0,Medium
2023-11-10,19518.0,19609.0,19493.0,19582.05,259.60K,-0.0003,-0.0003369298037384505,19587.66,19507.265000000003,163.23486496097271,1,1.0,-0.0003369298037384505,1.1077104528522823,1.2040696552533552,2.0,Medium
2023-11-13,19618.0,19633.85,19575.25,19603.3,202.80K,0.0011,0.0010851774967379768,19590.41,19494.11,164.50331945297427,1,1.0,0.0010851774967379768,1.108912515308619,1.2053762845477412,0.0,Medium
2023-11-15,19725.1,19865.0,19725.1,19830.95,578.00K,0.0116,0.011612840695189197,19640.3,19492.2475,181.3710169941379,1,1.0,0.011612840695189197,1.1217901396937995,1.219374127317953,0.0,Medium
2023-11-16,19835.0,20035.7,19801.05,19936.4,808.50K,0.0053,0.005317445709862589,19708.27,19492.3725,173.4741742704544,1,1.0,0.005317445709862589,1.1277551978594804,1.2258580830399772,0.0,Medium
2023-11-17,19880.0,19969.9,19861.25,19917.7,469.40K,-0.0009,-0.000937982785257141,19774.08,19497.642499999998,171.75902766159456,1,1.0,-0.000937982785257141,1.1266973828979039,1.2247082492609174,0.0,Medium
2023-11-20,19891.0,19980.0,19833.0,19863.4,424.90K,-0.0027,-0.002726218388669377,19830.35,19503.2675,155.9629878633176,1,1.0,-0.002726218388669377,1.1236257597741819,1.2213694271110271,0.0,Medium
2023-11-21,19908.45,20005.0,19908.45,19952.55,432.15K,0.0045,0.004488154092451291,19900.2,19518.1875,166.9290775047423,1,1.0,0.004488154092451291,1.1286687653262961,1.2268511213037103,0.0,Medium
2023-11-22,19952.05,20004.2,19867.25,19993.15,912.95K,0.002,0.0020348276285488964,19932.640000000003,19548.777500000004,172.70313192786267,1,1.0,0.0020348276285488964,1.1309654117134622,1.2293475518614554,0.0,Medium
2023-11-23,19998.05,20027.85,19953.0,19980.25,804.85K,-0.0006,-0.0006452209881885329,19941.410000000003,19586.5425,168.3897130003988,1,1.0,-0.0006452209881885329,1.1302356890929095,1.2285543510192163,0.0,Medium
2023-11-24,19987.95,19999.8,19915.0,19937.95,1.03M,-0.0021,-0.002117090626994167,19945.46,19634.81,149.07230385852228,1,1.0,-0.002117090626994167,1.1278428777092366,1.2259533901179207,0.0,Low
2023-11-28,19960.5,20074.0,19940.05,20053.15,3.39M,0.0058,0.00577792601546312,19983.41,19675.4725,123.86232096752357,1,1.0,0.00577792601546312,1.1343594704137077,1.2330368581044282,0.0,Low
2023-11-29,20150.5,20267.0,20100.0,20252.6,5.23M,0.0099,0.009946068323430257,20043.420000000002,19721.8,117.03718497369908,1,1.0,0.009946068323430257,1.1456418872097727,1.2453007269404426,0.0,Low
2023-11-30,20275.0,20291.6,20144.1,20270.6,8.29M,0.0009,0.0008887747745969232,20098.91,19772.24,138.79802922435354,1,1.0,0.0008887747745969232,1.1466601048198464,1.2464075188133346,0.0,Low
2023-12-01,20428.05,20525.0,20418.2,20492.8,339.90K,0.011,0.010961688356536214,20201.42,19838.61,201.01918102206676,1,1.0,0.010961688356536214,1.1592294355397548,1.26007024959981,0.0,Medium
2023-12-04,20749.05,20943.6,20730.3,20915.45,736.10K,0.0206,0.020624316833229406,20396.92,19917.2725,325.3877471569674,1,1.0,0.020624316833229406,1.1831377507007323,1.2860583376596828,0.0,High
2023-12-05,20933.85,21075.0,20922.1,21060.65,472.10K,0.0069,0.006942236480687702,20598.420000000002,19999.96,409.0583122311956,1,1.0,0.006942236480687702,1.1913513727553258,1.2949864587676765,0.0,High
2023-12-06,21125.0,21175.0,21066.0,21161.1,430.40K,0.0048,0.0047695583944464826,20780.12,20078.5375,471.71437638549816,1,1.0,0.0047695583944464826,1.1970335926959863,1.3011629723027864,0.0,High
2023-12-07,21176.85,21176.85,21078.0,21152.25,248.50K,-0.0004,-0.00041822022484649946,20956.45,20157.075,499.03759833846055,1,1.0,-0.00041822022484649946,1.1965329690377002,1.300618799631948,0.0,High
2023-12-08,21178.6,21225.0,21074.85,21197.95,410.10K,0.0022,0.0021605266579205473,21097.48,20237.145,499.1826274575376,1,1.0,0.0021605266579205473,1.199118110414387,1.3034288212203455,0.0,High
2023-12-11,21197.55,21239.0,21158.0,21207.15,269.00K,0.0004,0.000434004231541385,21155.82,20318.07,457.8160518518115,1,1.0,0.000434004231541385,1.199638532748425,1.3039945148442682,0.0,High
2023-12-12,21235.0,21248.65,21120.1,21149.85,298.95K,-0.0027,-0.0027019189282860845,21173.659999999996,20396.46,391.9360618205428,1,1.0,-0.0027019189282860845,1.1963972066896906,1.3004712273822292,0.0,High
2023-12-13,21210.0,21210.0,21028.65,21160.25,520.20K,0.0005,0.0004917292557631292,21173.49,20474.307500000003,328.9861407497142,1,1.0,0.0004917292557631292,1.1969855101977331,1.3011107071310113,0.0,High
2023-12-14,21222.0,21486.05,21222.0,21456.55,927.20K,0.014,0.014002670100778492,21234.35,20555.5875,250.52588023295064,1,1.0,0.014002670100778492,1.213746503412444,1.3193297311275574,0.0,High
2023-12-15,21523.0,21725.85,21486.65,21691.25,1.10M,0.0109,0.010938384782269273,21333.01,20643.33,214.2561219787573,1,1.0,0.010938384782269273,1.2270229296949031,1.3337610673813185,0.0,Medium
2023-12-18,21640.5,21681.85,21596.7,21611.7,677.45K,-0.0037,-0.003667377398720695,21413.920000000002,20728.03,219.08250373834218,1,1.0,-0.003667377398720695,1.222522973534828,1.3288696621875107,0.0,Medium
2023-12-19,21600.0,21729.9,21550.0,21663.4,1.15M,0.0024,0.002392222731205873,21516.629999999997,20818.03,233.0126098753535,1,1.0,0.002392222731205873,1.2254475207815394,1.3320486144002055,0.0,High
2023-12-20,21731.2,21819.25,21316.0,21371.45,2.69M,-0.0135,-0.0134766472483544,21558.87,20888.975,223.86716448185183,1,1.0,-0.0134766472483544,1.2089325968225961,1.3140970651062747,0.0,Medium
2023-12-21,21299.0,21526.6,21220.55,21498.95,2.17M,0.006,0.005965903109054427,21567.35,20964.265,213.66908604929773,1,1.0,0.005965903109054427,1.2161449715606174,1.3219368408725916,0.0,Medium
2023-12-22,21525.45,21632.9,21440.0,21561.55,3.30M,0.0029,0.0029117701097030046,21541.41,21043.33,206.10835580621105,1,1.0,0.0029117701097030046,1.2196861061378732,1.3257860170527596,0.0,Medium
2023-12-26,21561.55,21690.0,21520.05,21633.1,4.48M,0.0033,0.0033184070718477177,21545.690000000002,21128.0875,197.09778657312603,1,1.0,0.0033184070718477177,1.2237335211379154,1.3301855147475043,0.0,Medium
2023-12-27,21690.25,21879.1,21680.2,21854.1,6.63M,0.0102,0.010215826673015016,21583.829999999998,21218.135000000002,191.84990545220546,1,1.0,0.010215826673015016,1.2362349706838187,1.34377445940912,0.0,Medium
2023-12-28,21895.1,21966.65,21861.75,21942.3,8.01M,0.004,0.004035855972105873,21698.0,21302.620000000003,173.75964889215714,1,1.0,0.004035855972105873,1.2412242369731792,1.3491977395862897,0.0,Medium
2023-12-29,22055.65,22064.75,21965.0,22016.15,409.35K,0.0034,0.003365645351672386,21801.439999999995,21389.8975,200.3316672831719,1,1.0,0.003365645351672386,1.245401757556731,1.3537386606870152,0.0,Medium
2024-01-01,21975.0,22155.45,21947.0,22018.65,441.45K,0.0001,0.00011355300540749624,21892.86,21466.19,226.6066906553879,1,1.0,0.00011355300540749624,1.2455431766692415,1.3538923817804724,0.0,Medium
2024-01-02,21970.05,22001.95,21815.0,21896.35,519.10K,-0.0056,-0.005554382307725647,21945.51,21515.234999999997,229.7472633129384,1,1.0,-0.005554382307725647,1.2386249536852414,1.3463723458885464,0.0,Medium
2024-01-03,21859.85,21859.85,21720.0,21738.1,515.85K,-0.0072,-0.007227231935916234,21922.31,21549.107500000002,227.98529338486765,1,1.0,-0.007227231935916234,1.2296731238633447,1.336641800672706,0.0,Medium
2024-01-04,21778.05,21940.0,21773.25,21914.2,389.95K,0.0081,0.008100983986641053,21916.69,21586.7625,188.16864251930627,1,1.0,0.008100983986641053,1.2396346861485645,1.3474699144958309,0.0,Medium
2024-01-05,21937.95,21963.95,21817.7,21928.2,425.45K,0.0006,0.0006388551715326152,21899.1,21625.559999999998,156.2547211724071,1,1.0,0.0006388551715326152,1.2404266331786218,1.3483307526191912,0.0,Medium
2024-01-08,21928.0,21945.0,21705.0,21718.3,568.00K,-0.0096,-0.00957214910480575,21839.03,21651.577500000003,129.67464724712204,1,1.0,-0.00957214910480575,1.2285530844922639,1.3354243296125254,0.0,Low
2024-01-09,21800.0,21938.0,21732.0,21751.6,671.50K,0.0015,0.0015332691785268082,21810.079999999998,21678.8,109.9461419908154,1,1.0,0.0015332691785268082,1.2304367870708999,1.3374718945773751,0.0,Low
2024-01-10,21725.0,21870.0,21641.0,21843.45,452.05K,0.0042,0.004222677871972724,21831.15,21713.480000000003,110.25232222194354,1,1.0,0.004222677871972724,1.2356325252645253,1.3431196075509924,0.0,Low
2024-01-11,21884.0,21909.4,21768.35,21819.6,377.15K,-0.0011,-0.0010918604890711725,21812.23,21746.4475,108.96434381025223,1,1.0,-0.0010918604890711725,1.2342833869311778,1.3416531083194108,0.0,Low
2024-01-12,21891.0,22130.85,21867.0,22089.3,965.40K,0.0124,0.012360446570973016,21844.449999999997,21778.085,121.95952481959131,1,1.0,0.012360446570973016,1.2495396807887802,1.3582365398815728,0.0,Low
2024-01-15,22180.0,22286.8,22135.0,22274.0,804.30K,0.0084,0.00836151439837396,21955.59,21807.222499999996,172.42049826513238,1,1.0,0.00836151439837396,1.2599877248210352,1.3695934542661903,0.0,Medium
2024-01-16,22251.0,22277.7,22113.25,22175.9,803.80K,-0.0044,-0.004404238125168325,22040.45,21835.432500000003,193.60787984651174,1,1.0,-0.004404238125168325,1.2544384388461343,1.36356143855893,0.0,Medium
2024-01-17,22010.0,22044.0,21722.0,21741.85,2.20M,-0.0196,-0.019573050022772653,22020.129999999997,21839.355,193.20829836041713,1,1.0,-0.019573050022772653,1.22988525253211,1.3368723823128923,0.0,Medium
2024-01-18,21650.0,21726.7,21467.2,21675.8,3.03M,-0.003,-0.0030379199562134973,21991.37,21854.572500000002,208.8515461592455,1,1.0,-0.0030379199562134973,1.22614895957959,1.3328110710237533,0.0,Medium
2024-01-19,21710.0,21845.3,21709.95,21814.9,1.49M,0.0064,0.006417294863396039,21936.49,21870.37,210.32822920324998,1,1.0,0.006417294863396039,1.2340175189996585,1.3413641126637115,0.0,Medium
2024-01-23,21806.65,21916.0,21307.0,21352.3,6.68M,-0.0212,-0.02120568968915748,21752.15,21859.907499999998,267.65037642375455,-1,1.0,-0.02120568968915748,1.2078493264207677,1.3129195615303928,0.0,High
2024-01-24,21346.1,21640.0,21287.05,21612.35,9.13M,0.0122,0.012179015843726493,21639.44,21858.870000000003,277.0207006400639,-1,-1.0,-0.012179015843726493,1.2225597425040806,1.2969294933889757,-2.0,High
